曽良は河合氏にして惣五郎といへり,存続,存在,断定,過去,完了,り,存続
道知れる人もなくて惑ひ行きにけり,存続,完了,推定,可能,伝聞,り,完了
その女、世人にはまされりけり,存続,伝聞,過去,完了,推量,り,過去
かうてありと聞き給へらむを,存続,推量,伝聞,仮定,完了,り,存続
われまたかくのごとし,比況,受身,例示,希望,婉曲,ごとし,例示
扇を広げたるがごとく末広になりぬ,比況,婉曲,仮定,推量,例示,ごとし,比況
ただ春の夜の夢のごとし,比況,例示,希望,仮定,推量,ごとし,比況
花の散りぬるごときわが王かも,比況,比喩,適当,例示,伝聞,ごとし,比喩
往生要集ごとき抄物を入れたり,例示,比況,完了,強意,適当,ごとし,比況
例えがごとく、百万の財を得れば能事おわれりと為す,例示,推量,仮定,比況,当然,ごとし,比況
いも、栗ごときものを,例示,比喩,比況,並列,適当,ごとし,例示
犬、馬のごときもの,例示,並列,比喩,仮定,適当,ごとし,比喩
